spkitemid,score2,average_score
1619.0,5,4.5
1219.0,4,4.0
820.0,3,2.5
1515.0,5,5.0
1230.0,5,5.0
286.0,2,2.0
907.0,4,4.5
1133.0,6,6.0
475.0,4,4.5
1093.0,4,4.0
28.0,4,4.5
1431.0,3,3.0
1452.0,6,6.0
1459.0,4,4.0
22.0,1,1.5
1671.0,6,5.5
909.0,5,5.0
905.0,3,3.0
1333.0,4,4.0
293.0,4,4.0
166.0,6,5.0
1176.0,4,4.0
859.0,6,6.0
1419.0,5,5.0
1121.0,1,1.0
482.0,4,4.5
1045.0,4,4.5
816.0,4,4.5
886.0,5,5.5
12.0,4,4.0
883.0,4,4.5
821.0,4,4.5
1382.0,5,5.0
836.0,4,4.0
926.0,3,3.5
1703.0,6,5.5
32.0,5,5.0
1414.0,4,4.0
203.0,5,5.0
635.0,5,5.0
927.0,4,3.5
1778.0,2,2.5
13.0,3,3.5
1127.0,4,4.0
1554.0,4,4.0
47.0,4,4.0
643.0,5,5.0
63.0,4,4.0
438.0,4,4.0
1509.0,4,4.0
557.0,5,5.0
986.0,5,5.5
1602.0,5,5.0
1517.0,4,4.0
1216.0,4,4.5
1777.0,5,5.5
276.0,4,4.0
241.0,5,4.5
910.0,4,4.0
1694.0,5,5.0
734.0,5,5.0
1784.0,4,3.5
1253.0,2,2.0
827.0,3,3.0
39.0,5,5.0
755.0,5,4.5
1328.0,4,4.0
336.0,5,5.5
484.0,4,3.5
1618.0,4,4.0
1665.0,5,4.5
1420.0,4,4.0
1169.0,5,5.0
1542.0,5,5.0
1424.0,5,5.0
1656.0,4,4.0
893.0,2,2.0
140.0,5,4.5
1091.0,5,5.0
353.0,2,2.5
572.0,5,5.5
1175.0,4,4.5
1292.0,4,4.0
725.0,3,3.0
380.0,5,5.0
672.0,5,4.5
1536.0,2,2.0
1528.0,3,3.0
1481.0,3,3.5
1279.0,4,4.5
535.0,4,4.0
1028.0,6,5.0
856.0,5,5.0
290.0,5,5.5
1215.0,4,4.0
1689.0,3,3.5
370.0,5,5.0
368.0,5,4.5
961.0,4,4.0
729.0,4,3.5
1638.0,4,4.0
1167.0,5,5.0
